Job_Role,Industry,Ag,Mental_Health_Condition,Stress_Level,Years_of_Experience,Work_Location,Region,Employee_ID,Number_of_Virtual_Meetings,R_Satisfaction_with_Remote_Work,Work_Life_Balance_Rating,Hours_Worked_Per_Week,Productivity_Change
Software Engineer,Education,53,Burnout,Medium,11,Remote,Asia,EMP0260,9,Neutral,2,25,Increase
Software Engineer,Manufacturing,57,None,High,3,Onsite,North America,EMP0261,12,Neutral,4,40,Increase
Project Manager,Finance,50,Burnout,Low,20,Onsite,Asia,EMP0262,13,Neutral,1,32,No Change
Sales,Education,37,Burnout,Medium,18,Onsite,Africa,EMP0263,15,Neutral,3,20,No Change
Project Manager,Retail,58,Depression,Medium,8,Hybrid,Asia,EMP0264,5,Neutral,5,35,Decrease
Sales,Manufacturing,57,Anxiety,Medium,32,Remote,Europe,EMP0265,2,Satisfied,1,49,No Change
Sales,Retail,50,Depression,Medium,21,Onsite,Europe,EMP0266,5,Satisfied,4,34,No Change
Project Manager,Manufacturing,48,Burnout,Medium,33,Hybrid,South America,EMP0267,13,Satisfied,3,58,Decrease
HR,Consulting,43,Anxiety,Medium,15,Onsite,South America,EMP0268,4,Unsatisfied,4,26,Decrease
Marketing,Retail,58,Burnout,Medium,12,Onsite,Europe,EMP0269,7,Unsatisfied,4,36,Increase
Designer,Education,30,Depression,High,32,Hybrid,Africa,EMP0270,3,Neutral,4,48,Increase
HR,Finance,44,Anxiety,High,3,Onsite,South America,EMP0271,5,Satisfied,4,57,Increase
HR,Finance,41,Depression,Medium,28,Hybrid,Oceania,EMP0272,8,Satisfied,2,32,No Change
Marketing,Healthcare,60,Burnout,Medium,17,Remote,Asia,EMP0273,7,Unsatisfied,4,55,Decrease
Designer,Finance,58,Depression,High,35,Hybrid,Asia,EMP0274,3,Neutral,3,28,Decrease
Sales,Consulting,60,Depression,Low,7,Onsite,Oceania,EMP0275,10,Satisfied,2,53,Decrease
Designer,Finance,27,Depression,Low,34,Onsite,Europe,EMP0276,10,Satisfied,4,36,No Change
Sales,Manufacturing,38,Anxiety,High,18,Remote,Asia,EMP0277,7,Satisfied,4,54,Decrease
Marketing,Healthcare,56,Burnout,Low,8,Remote,Asia,EMP0278,8,Neutral,3,33,Increase
Designer,Finance,31,None,Medium,19,Onsite,Africa,EMP0279,1,Unsatisfied,4,39,Decrease
Software Engineer,Healthcare,37,Anxiety,Medium,25,Hybrid,North America,EMP0280,11,Satisfied,1,33,No Change
Software Engineer,Education,41,Anxiety,Low,2,Hybrid,Asia,EMP0281,4,Unsatisfied,1,48,No Change
Designer,Education,58,Depression,Medium,10,Remote,Europe,EMP0282,7,Satisfied,5,60,No Change
Data Scientist,IT,49,None,Medium,35,Remote,Asia,EMP0283,1,Neutral,1,24,Decrease
Data Scientist,Healthcare,23,Burnout,High,18,Remote,Asia,EMP0284,7,Unsatisfied,5,28,Increase
Project Manager,Manufacturing,24,Depression,Low,12,Hybrid,Oceania,EMP0285,14,Neutral,2,20,Decrease
Project Manager,Finance,41,Anxiety,Medium,35,Onsite,Asia,EMP0286,14,Unsatisfied,4,28,Decrease
HR,Consulting,32,None,Medium,23,Remote,Africa,EMP0287,12,Unsatisfied,4,48,Increase
Sales,Healthcare,47,None,High,10,Hybrid,Africa,EMP0288,5,Neutral,2,51,Decrease
Designer,IT,23,Anxiety,Low,22,Hybrid,Africa,EMP0289,5,Neutral,4,39,Decrease
Marketing,Retail,34,Anxiety,Medium,14,Remote,North America,EMP0290,2,Neutral,4,25,No Change
Sales,IT,42,None,High,32,Hybrid,Europe,EMP0291,12,Satisfied,1,53,Decrease
HR,IT,42,Burnout,High,10,Hybrid,Asia,EMP0292,13,Neutral,4,44,Decrease
Sales,Education,33,Burnout,Medium,22,Hybrid,Africa,EMP0293,3,Neutral,3,31,Increase
Designer,Healthcare,40,Depression,Low,3,Onsite,Asia,EMP0294,2,Satisfied,5,58,Decrease
Marketing,Healthcare,27,Depression,Low,33,Hybrid,Europe,EMP0295,5,Unsatisfied,4,26,Decrease
Data Scientist,Consulting,39,None,Low,33,Hybrid,North America,EMP0296,4,Satisfied,3,20,Decrease
Marketing,IT,42,None,Low,11,Hybrid,Europe,EMP0297,14,Satisfied,3,28,No Change
Sales,Healthcare,22,Burnout,Medium,7,Remote,Asia,EMP0298,14,Neutral,5,35,No Change
Marketing,Finance,45,None,Low,9,Remote,North America,EMP0299,14,Neutral,2,30,Decrease
Data Scientist,Finance,47,None,Low,6,Hybrid,Oceania,EMP0300,0,Satisfied,1,28,Decrease
Designer,Retail,24,Anxiety,Medium,16,Remote,Oceania,EMP0301,4,Neutral,3,21,Decrease
HR,IT,48,Depression,Medium,2,Remote,Europe,EMP0302,13,Unsatisfied,2,56,Decrease
Software Engineer,Retail,60,Burnout,High,13,Hybrid,Africa,EMP0303,10,Satisfied,3,25,Increase
Software Engineer,Education,41,None,High,20,Remote,South America,EMP0304,0,Neutral,1,21,No Change
Project Manager,Retail,49,Burnout,Medium,17,Remote,Africa,EMP0305,2,Satisfied,4,50,Decrease
Data Scientist,Finance,27,Burnout,High,16,Onsite,Europe,EMP0306,3,Unsatisfied,5,50,No Change
Marketing,Manufacturing,35,Depression,Low,14,Hybrid,Asia,EMP0307,10,Unsatisfied,2,27,Decrease
Software Engineer,Consulting,23,Depression,Medium,3,Onsite,North America,EMP0308,14,Satisfied,4,31,Increase
Designer,Finance,24,Anxiety,Low,27,Hybrid,Africa,EMP0309,11,Satisfied,3,45,Increase
Sales,Education,41,None,Medium,25,Remote,Africa,EMP0310,8,Satisfied,2,23,No Change
Designer,IT,41,None,Low,32,Onsite,Asia,EMP0311,14,Neutral,3,42,No Change
Data Scientist,Finance,43,None,Medium,16,Onsite,Oceania,EMP0312,8,Neutral,1,37,Decrease
Sales,IT,30,Anxiety,Low,15,Onsite,South America,EMP0313,7,Neutral,5,40,Increase
HR,Retail,44,Depression,High,26,Onsite,Africa,EMP0314,1,Satisfied,3,23,Decrease
Marketing,Education,50,Burnout,Medium,22,Remote,North America,EMP0315,3,Satisfied,3,20,Decrease
Designer,Manufacturing,48,Anxiety,Medium,16,Remote,Asia,EMP0316,8,Neutral,5,51,Increase
Marketing,IT,45,Depression,Low,2,Onsite,Asia,EMP0317,1,Neutral,2,46,Decrease
HR,Education,60,Anxiety,Medium,6,Remote,Europe,EMP0318,7,Unsatisfied,2,37,Increase
Project Manager,Education,51,Burnout,Low,6,Onsite,Africa,EMP0319,4,Satisfied,2,42,No Change
HR,Retail,48,None,Low,4,Hybrid,Europe,EMP0320,15,Neutral,4,53,No Change
Marketing,Consulting,43,Burnout,Low,25,Hybrid,Africa,EMP0321,0,Neutral,2,26,Increase
Marketing,Education,23,None,Medium,31,Onsite,South America,EMP0322,9,Unsatisfied,3,48,Increase
Marketing,Education,32,Anxiety,Low,1,Onsite,Asia,EMP0323,0,Neutral,3,58,Decrease
HR,Consulting,44,Burnout,Medium,29,Hybrid,Asia,EMP0324,7,Unsatisfied,1,52,Increase
Marketing,Finance,36,Anxiety,High,4,Hybrid,Oceania,EMP0325,13,Unsatisfied,4,52,Decrease
Designer,Manufacturing,50,None,Low,2,Onsite,Oceania,EMP0326,7,Satisfied,2,49,Decrease
Marketing,Consulting,54,Anxiety,High,19,Hybrid,North America,EMP0327,4,Satisfied,2,55,Increase
Designer,Healthcare,54,Depression,High,13,Remote,Oceania,EMP0328,0,Satisfied,2,33,Increase
HR,Healthcare,33,Depression,High,2,Onsite,South America,EMP0329,12,Neutral,1,24,Increase
Sales,Consulting,47,Depression,Low,31,Onsite,North America,EMP0330,15,Unsatisfied,5,21,Increase
Software Engineer,Education,25,Depression,Low,28,Remote,Africa,EMP0331,12,Satisfied,5,55,Increase
Sales,Education,38,Depression,Medium,25,Remote,Europe,EMP0332,10,Satisfied,5,44,Decrease
Software Engineer,Manufacturing,31,None,Medium,21,Onsite,Asia,EMP0333,7,Neutral,4,24,Decrease
Marketing,IT,58,Anxiety,High,11,Onsite,Oceania,EMP0334,6,Unsatisfied,2,25,Increase
Designer,Education,28,Burnout,High,16,Hybrid,Africa,EMP0335,0,Satisfied,4,40,Increase
Sales,IT,54,Anxiety,Low,32,Hybrid,Asia,EMP0336,3,Satisfied,2,59,Increase
Software Engineer,IT,60,Burnout,High,31,Onsite,South America,EMP0337,9,Unsatisfied,4,22,Decrease
Designer,Consulting,38,None,Medium,4,Hybrid,North America,EMP0338,15,Neutral,5,47,Increase
Sales,Finance,31,Depression,Low,32,Hybrid,Europe,EMP0339,15,Unsatisfied,2,31,Decrease
Designer,IT,42,None,High,2,Onsite,South America,EMP0340,5,Neutral,5,41,No Change
Data Scientist,Manufacturing,52,Burnout,High,18,Remote,North America,EMP0341,0,Unsatisfied,1,52,No Change
HR,Finance,41,Burnout,Low,6,Hybrid,Asia,EMP0342,0,Satisfied,2,48,Decrease
Project Manager,Finance,44,Depression,Medium,20,Onsite,North America,EMP0343,14,Unsatisfied,5,41,Increase
Data Scientist,Finance,42,Burnout,High,15,Remote,South America,EMP0344,7,Satisfied,3,21,No Change
Software Engineer,Healthcare,53,Burnout,Low,3,Hybrid,Africa,EMP0345,15,Satisfied,2,49,Decrease
Software Engineer,Education,52,Depression,High,29,Remote,North America,EMP0346,7,Unsatisfied,4,32,Decrease
Marketing,Education,23,None,Medium,12,Remote,Africa,EMP0347,12,Unsatisfied,1,40,No Change
Sales,Finance,24,Burnout,High,23,Onsite,Africa,EMP0348,10,Unsatisfied,4,22,No Change
Project Manager,Consulting,41,None,Low,34,Hybrid,Asia,EMP0349,9,Neutral,3,44,Decrease
HR,Manufacturing,60,None,Medium,16,Onsite,Africa,EMP0350,15,Unsatisfied,1,41,Decrease
Designer,Manufacturing,25,Burnout,High,6,Remote,South America,EMP0351,11,Unsatisfied,1,37,Decrease
HR,Healthcare,55,Anxiety,Medium,18,Onsite,North America,EMP0352,12,Neutral,3,54,Increase
Software Engineer,Retail,33,Depression,Low,3,Onsite,South America,EMP0353,3,Satisfied,1,31,Decrease
Data Scientist,Consulting,43,Depression,Medium,14,Hybrid,Africa,EMP0354,13,Unsatisfied,2,53,Decrease
Project Manager,Education,59,Anxiety,Medium,20,Remote,Africa,EMP0355,13,Satisfied,5,23,Increase
Sales,Healthcare,48,Depression,Low,2,Remote,South America,EMP0356,3,Satisfied,1,58,Increase
HR,Finance,31,None,Low,9,Remote,Asia,EMP0357,7,Neutral,1,26,Increase
Designer,Manufacturing,28,None,Medium,23,Remote,Asia,EMP0358,7,Unsatisfied,3,46,Decrease
Sales,Manufacturing,49,Anxiety,Medium,6,Remote,South America,EMP0359,7,Neutral,3,20,Increase
HR,Finance,56,Depression,Medium,13,Hybrid,Europe,EMP0360,0,Satisfied,2,56,Decrease
Sales,Retail,56,Burnout,Medium,30,Onsite,Asia,EMP0361,15,Satisfied,1,28,Increase
Sales,Consulting,51,None,Medium,10,Hybrid,Europe,EMP0362,2,Satisfied,1,39,Increase
Designer,Manufacturing,38,None,Medium,11,Onsite,South America,EMP0363,10,Satisfied,4,22,Increase
Project Manager,IT,40,Anxiety,High,9,Onsite,South America,EMP0364,4,Unsatisfied,3,32,No Change
Project Manager,Consulting,56,None,Low,23,Hybrid,Africa,EMP0365,9,Neutral,1,28,No Change
Sales,IT,33,None,Medium,12,Hybrid,South America,EMP0366,6,Neutral,4,22,Decrease
Marketing,Manufacturing,45,Depression,Medium,28,Onsite,Europe,EMP0367,2,Neutral,5,53,Increase
Sales,IT,55,Anxiety,Medium,32,Hybrid,Europe,EMP0368,11,Neutral,2,33,Decrease
Data Scientist,Manufacturing,39,Burnout,High,33,Remote,South America,EMP0369,5,Satisfied,1,34,No Change
Software Engineer,Education,58,Burnout,Low,2,Remote,Africa,EMP0370,0,Neutral,4,50,No Change
Data Scientist,Healthcare,41,None,Medium,33,Onsite,Oceania,EMP0371,1,Satisfied,1,28,Decrease
Marketing,Healthcare,57,None,Medium,16,Onsite,Europe,EMP0372,7,Unsatisfied,4,51,Increase
Software Engineer,Education,31,Depression,High,12,Remote,Africa,EMP0373,0,Neutral,5,35,No Change
Sales,Healthcare,34,None,Medium,25,Remote,Oceania,EMP0374,8,Unsatisfied,3,39,Increase
Software Engineer,Healthcare,39,None,High,8,Hybrid,Oceania,EMP0375,14,Unsatisfied,1,58,Increase
Designer,IT,29,Anxiety,Low,26,Hybrid,Oceania,EMP0376,3,Neutral,3,34,Decrease
Designer,IT,31,None,Medium,7,Hybrid,South America,EMP0377,4,Neutral,1,48,Decrease
Designer,Healthcare,30,Burnout,High,2,Remote,Europe,EMP0378,0,Unsatisfied,5,52,No Change
Designer,Healthcare,53,None,High,35,Remote,Africa,EMP0379,8,Neutral,5,59,Increase
Marketing,Consulting,27,Burnout,High,15,Remote,Oceania,EMP0380,14,Neutral,2,32,Decrease
Designer,Education,39,None,Medium,28,Remote,Africa,EMP0381,4,Unsatisfied,3,41,Increase
Project Manager,Education,59,Anxiety,Medium,18,Remote,South America,EMP0382,14,Neutral,2,34,No Change
HR,Consulting,58,Burnout,Low,10,Hybrid,North America,EMP0383,8,Neutral,3,41,Decrease
Sales,Education,28,Anxiety,Medium,5,Remote,Europe,EMP0384,9,Satisfied,3,55,No Change
Designer,IT,56,Burnout,High,27,Remote,Asia,EMP0385,8,Neutral,2,50,Increase
Project Manager,Healthcare,31,Anxiety,High,4,Remote,Oceania,EMP0386,9,Unsatisfied,1,25,Increase
Sales,Consulting,28,Depression,Medium,32,Onsite,Africa,EMP0387,12,Neutral,3,21,No Change
Sales,Finance,46,Depression,High,20,Hybrid,Africa,EMP0388,11,Neutral,5,44,Decrease
Sales,Consulting,32,Depression,High,18,Remote,South America,EMP0389,0,Neutral,5,28,No Change
Software Engineer,Retail,37,Burnout,Medium,31,Onsite,Europe,EMP0390,8,Satisfied,5,54,No Change
Project Manager,Consulting,50,Burnout,Medium,9,Hybrid,North America,EMP0391,12,Satisfied,3,55,Decrease
Marketing,Retail,55,None,Medium,29,Remote,South America,EMP0392,10,Unsatisfied,5,26,Increase
HR,Retail,45,Depression,Low,17,Onsite,Africa,EMP0393,7,Neutral,5,41,No Change
Sales,Healthcare,50,Anxiety,Low,31,Onsite,North America,EMP0394,4,Satisfied,4,50,No Change
Project Manager,Finance,43,Anxiety,Medium,3,Hybrid,Oceania,EMP0395,12,Neutral,2,55,No Change
Marketing,Healthcare,39,Anxiety,Medium,20,Hybrid,Africa,EMP0396,2,Satisfied,3,22,Increase
Data Scientist,Consulting,30,Burnout,Low,9,Hybrid,Europe,EMP0397,11,Unsatisfied,5,33,No Change
Project Manager,Retail,36,Burnout,High,4,Hybrid,Europe,EMP0398,4,Neutral,1,21,Increase
Designer,Manufacturing,58,Burnout,Medium,17,Hybrid,Europe,EMP0399,13,Neutral,2,28,No Change
Data Scientist,Healthcare,53,None,High,34,Remote,Africa,EMP0400,6,Satisfied,5,22,Decrease
HR,IT,56,Anxiety,High,13,Remote,Asia,EMP0401,14,Neutral,4,58,No Change
Project Manager,Consulting,57,Anxiety,Low,19,Remote,South America,EMP0402,0,Satisfied,4,39,Decrease
Data Scientist,Finance,58,Anxiety,Low,8,Onsite,Africa,EMP0403,15,Neutral,2,35,Decrease
Designer,Healthcare,57,Burnout,High,22,Hybrid,Europe,EMP0404,3,Unsatisfied,3,56,Increase
Data Scientist,Consulting,46,Anxiety,Medium,14,Remote,Asia,EMP0405,13,Unsatisfied,4,29,Increase
HR,Manufacturing,42,None,High,33,Hybrid,Europe,EMP0406,0,Neutral,4,24,No Change
Project Manager,Healthcare,24,None,High,30,Onsite,South America,EMP0407,4,Satisfied,3,60,Decrease
HR,Retail,53,Burnout,Low,10,Remote,Oceania,EMP0408,9,Satisfied,4,31,Decrease
Data Scientist,Finance,24,None,Low,35,Remote,North America,EMP0409,10,Satisfied,1,50,Decrease
Project Manager,Consulting,30,Burnout,Medium,20,Remote,South America,EMP0410,14,Unsatisfied,2,27,No Change
Software Engineer,Healthcare,22,None,Medium,6,Remote,Europe,EMP0411,3,Unsatisfied,2,43,No Change
Designer,Retail,28,Anxiety,Medium,22,Hybrid,South America,EMP0412,3,Unsatisfied,5,30,Decrease
Sales,Education,52,Burnout,Medium,25,Onsite,Europe,EMP0413,15,Neutral,1,26,No Change
Project Manager,Manufacturing,47,Anxiety,Medium,21,Onsite,South America,EMP0414,7,Satisfied,1,47,Decrease
Data Scientist,Manufacturing,30,Burnout,Medium,14,Onsite,Oceania,EMP0415,14,Satisfied,3,56,Increase
Sales,Healthcare,52,Depression,Low,26,Hybrid,North America,EMP0416,15,Satisfied,4,30,Decrease
Sales,Healthcare,25,Depression,High,9,Hybrid,Asia,EMP0417,12,Unsatisfied,4,26,No Change
HR,Consulting,50,Burnout,Medium,22,Onsite,Oceania,EMP0418,10,Unsatisfied,2,47,Increase
HR,Education,60,Depression,High,34,Remote,Asia,EMP0419,7,Neutral,4,38,No Change
Marketing,IT,48,Anxiety,Medium,30,Hybrid,Africa,EMP0420,0,Neutral,2,49,No Change
HR,IT,28,Burnout,Medium,32,Remote,Asia,EMP0421,0,Satisfied,1,49,Decrease
Marketing,Finance,23,None,Medium,5,Remote,Oceania,EMP0422,11,Satisfied,1,37,Increase
Project Manager,Education,26,None,High,21,Hybrid,Europe,EMP0423,13,Unsatisfied,2,24,Decrease
Marketing,Consulting,27,Depression,Medium,32,Hybrid,North America,EMP0424,0,Neutral,5,53,Increase
Sales,Finance,52,Anxiety,Medium,30,Remote,Asia,EMP0425,14,Neutral,2,33,Increase
Software Engineer,Consulting,32,Depression,Medium,28,Onsite,Asia,EMP0426,13,Neutral,1,41,Decrease
Sales,Finance,23,Burnout,Low,4,Remote,Europe,EMP0427,15,Neutral,2,31,Increase
Sales,IT,41,Anxiety,Low,19,Onsite,Oceania,EMP0428,4,Satisfied,4,29,No Change
Project Manager,IT,33,Anxiety,High,25,Hybrid,North America,EMP0429,7,Neutral,1,33,No Change
Sales,Consulting,37,Anxiety,High,9,Remote,Europe,EMP0430,8,Satisfied,5,58,Increase
Project Manager,Consulting,33,None,High,10,Hybrid,Oceania,EMP0431,12,Unsatisfied,3,42,Increase
Marketing,Finance,28,Depression,High,26,Hybrid,North America,EMP0432,15,Unsatisfied,3,23,No Change
Project Manager,Consulting,57,Burnout,High,26,Hybrid,South America,EMP0433,4,Neutral,5,28,Decrease
Designer,Finance,45,Burnout,Low,11,Hybrid,Oceania,EMP0434,10,Neutral,2,41,Decrease
Data Scientist,Consulting,50,Anxiety,High,25,Onsite,Oceania,EMP0435,9,Satisfied,5,33,Decrease
Marketing,Healthcare,53,None,Medium,3,Hybrid,Oceania,EMP0436,13,Satisfied,2,46,No Change
HR,Healthcare,58,Depression,High,29,Remote,Europe,EMP0437,9,Unsatisfied,4,25,Increase
Project Manager,Education,48,Depression,Medium,7,Onsite,Asia,EMP0438,1,Neutral,2,55,Decrease
Sales,Manufacturing,42,Burnout,High,28,Onsite,Europe,EMP0439,4,Satisfied,4,53,Increase
Software Engineer,Retail,22,Burnout,Medium,7,Onsite,Asia,EMP0440,10,Neutral,1,47,Decrease
Data Scientist,Retail,23,Depression,Low,34,Hybrid,South America,EMP0441,14,Satisfied,2,35,Decrease
HR,Finance,59,Depression,Low,3,Hybrid,North America,EMP0442,8,Neutral,4,39,No Change
Designer,Consulting,50,Depression,High,24,Hybrid,Oceania,EMP0443,12,Unsatisfied,1,34,Decrease
HR,Retail,27,Burnout,High,7,Hybrid,Oceania,EMP0444,9,Unsatisfied,5,27,Increase
Software Engineer,Retail,25,Anxiety,Low,18,Remote,Africa,EMP0445,4,Neutral,3,22,Increase
Designer,Healthcare,52,Depression,Low,33,Onsite,Africa,EMP0446,1,Unsatisfied,2,48,No Change
Sales,Healthcare,37,Burnout,Low,28,Remote,North America,EMP0447,3,Unsatisfied,5,52,Increase
Project Manager,Retail,22,Burnout,Medium,2,Onsite,South America,EMP0448,5,Satisfied,3,40,Increase
HR,Finance,51,Burnout,Low,22,Hybrid,Asia,EMP0449,7,Unsatisfied,1,41,Decrease
Project Manager,IT,57,Burnout,High,8,Hybrid,Europe,EMP0450,15,Unsatisfied,1,56,Decrease
Data Scientist,Manufacturing,58,Anxiety,Low,32,Onsite,North America,EMP0451,9,Satisfied,5,57,No Change
Data Scientist,Finance,32,Anxiety,High,21,Remote,Oceania,EMP0452,5,Satisfied,3,36,No Change
Data Scientist,Finance,41,Burnout,Low,15,Hybrid,Oceania,EMP0453,5,Unsatisfied,4,32,Increase
Marketing,Education,36,None,Medium,10,Remote,Asia,EMP0454,7,Unsatisfied,4,32,Decrease
Data Scientist,Manufacturing,51,Depression,Low,2,Remote,Asia,EMP0455,14,Satisfied,3,58,Decrease
Sales,Retail,60,None,Low,10,Remote,South America,EMP0456,15,Satisfied,4,59,Increase
HR,Healthcare,34,None,Medium,28,Onsite,Africa,EMP0457,3,Neutral,3,22,No Change
Sales,Manufacturing,33,Anxiety,Medium,27,Remote,Oceania,EMP0458,10,Unsatisfied,2,49,No Change
Marketing,Consulting,53,Depression,High,1,Onsite,Asia,EMP0459,14,Satisfied,3,42,No Change
Sales,Retail,53,Depression,Low,7,Onsite,Africa,EMP0460,5,Unsatisfied,5,20,Increase
Project Manager,IT,40,Burnout,Medium,12,Remote,Europe,EMP0461,5,Satisfied,2,22,Decrease
Designer,Manufacturing,36,Burnout,Medium,28,Hybrid,Europe,EMP0462,1,Neutral,5,48,Decrease
Designer,Healthcare,54,Burnout,High,27,Remote,Europe,EMP0463,1,Satisfied,1,20,Decrease
HR,IT,41,Depression,Low,19,Hybrid,North America,EMP0464,8,Satisfied,3,24,No Change
Sales,Consulting,55,Anxiety,High,15,Hybrid,Europe,EMP0465,9,Unsatisfied,4,22,No Change
Marketing,Finance,34,None,High,19,Onsite,Europe,EMP0466,4,Unsatisfied,1,58,Decrease
Project Manager,IT,43,Anxiety,Medium,17,Hybrid,Europe,EMP0467,2,Neutral,2,58,Increase
Project Manager,IT,37,Anxiety,Medium,26,Hybrid,Oceania,EMP0468,9,Satisfied,1,27,Decrease
HR,Education,37,Burnout,Low,14,Hybrid,Asia,EMP0469,13,Satisfied,1,40,Decrease
Sales,Finance,57,Depression,Low,1,Hybrid,Africa,EMP0470,14,Unsatisfied,4,24,No Change
Sales,IT,33,Depression,Low,26,Onsite,Europe,EMP0471,7,Neutral,2,43,No Change
HR,Manufacturing,51,None,High,14,Remote,Africa,EMP0472,9,Neutral,2,50,Decrease
Designer,Manufacturing,50,None,Medium,17,Remote,Europe,EMP0473,14,Satisfied,3,30,Decrease
Sales,Consulting,35,Depression,Medium,26,Hybrid,Asia,EMP0474,15,Unsatisfied,2,35,Decrease
Marketing,Education,40,Depression,Low,33,Remote,Africa,EMP0475,13,Satisfied,2,37,Increase
Project Manager,Retail,53,Depression,Low,7,Onsite,South America,EMP0476,9,Satisfied,3,51,No Change
Marketing,Manufacturing,32,Anxiety,Low,5,Onsite,Africa,EMP0477,11,Unsatisfied,2,54,Increase
Designer,Retail,56,Burnout,High,25,Remote,Africa,EMP0478,15,Satisfied,4,58,Decrease
Sales,Finance,55,Depression,Low,3,Onsite,South America,EMP0479,1,Unsatisfied,1,36,Decrease
Project Manager,Retail,49,Burnout,Low,2,Onsite,Africa,EMP0480,10,Unsatisfied,4,53,No Change
Software Engineer,Retail,23,Burnout,High,13,Hybrid,North America,EMP0481,12,Neutral,2,56,Decrease
Sales,Retail,38,Anxiety,Medium,8,Hybrid,Africa,EMP0482,4,Unsatisfied,2,27,Decrease
Marketing,Education,23,Burnout,Medium,16,Remote,Africa,EMP0483,11,Neutral,3,20,Decrease
Project Manager,Education,29,Burnout,Low,21,Remote,Africa,EMP0484,14,Satisfied,2,25,Increase
Data Scientist,Consulting,24,Anxiety,Low,20,Remote,Europe,EMP0485,14,Satisfied,1,33,Increase
Software Engineer,Finance,58,Burnout,Low,12,Onsite,South America,EMP0486,5,Neutral,5,35,No Change
Project Manager,Manufacturing,42,Anxiety,Low,1,Hybrid,Africa,EMP0487,4,Neutral,1,34,Increase
Designer,Healthcare,42,Anxiety,Low,32,Onsite,South America,EMP0488,5,Neutral,1,21,No Change
Sales,Healthcare,39,Burnout,Low,22,Remote,Asia,EMP0489,2,Unsatisfied,3,21,Increase
Designer,Healthcare,45,Depression,Medium,23,Onsite,Oceania,EMP0490,8,Unsatisfied,5,29,Increase
Project Manager,IT,53,None,High,27,Onsite,Oceania,EMP0491,5,Satisfied,2,33,No Change
Sales,Finance,43,None,High,10,Hybrid,North America,EMP0492,11,Neutral,4,42,Increase
Designer,Education,24,Anxiety,Medium,23,Onsite,South America,EMP0493,7,Neutral,1,38,No Change
Marketing,Finance,44,Burnout,High,24,Remote,Europe,EMP0494,4,Unsatisfied,1,40,Decrease
Software Engineer,Education,39,Anxiety,Medium,16,Remote,North America,EMP0495,4,Neutral,4,24,Decrease
HR,Retail,40,None,Low,19,Hybrid,Europe,EMP0496,4,Neutral,2,28,No Change
Designer,Education,41,Anxiety,Medium,14,Hybrid,North America,EMP0497,7,Unsatisfied,4,57,No Change
